pair,M,N,seed,mirror,winner_label,turns,unresolved
WDD:WBB,1,3,30143,0,A,19,false
WDD:WBB,1,3,30143,1,B,32,false
WDD:WBB,1,3,30144,0,draw,100,true
WDD:WBB,1,3,30144,1,B,24,false
WDD:WBB,1,3,30145,0,A,17,false
WDD:WBB,1,3,30145,1,B,22,false
WDD:WBB,1,3,30146,0,B,33,false
WDD:WBB,1,3,30146,1,draw,100,true
WDD:WBB,1,3,30147,0,B,35,false
WDD:WBB,1,3,30147,1,A,30,false
WDD:WBB,1,3,30148,0,A,17,false
WDD:WBB,1,3,30148,1,B,20,false
WDD:WBB,1,3,30149,0,A,21,false
WDD:WBB,1,3,30149,1,A,26,false
WDD:WBB,1,4,40100,0,A,17,false
WDD:WBB,1,4,40100,1,A,14,false
WDD:WBB,1,4,40101,0,A,21,false
WDD:WBB,1,4,40101,1,A,32,false
WDD:WBB,1,4,40102,0,A,25,false
WDD:WBB,1,4,40102,1,A,24,false
WDD:WBB,1,4,40103,0,A,21,false
WDD:WBB,1,4,40103,1,A,22,false
WDD:WBB,1,4,40104,0,A,21,false
WDD:WBB,1,4,40104,1,A,18,false
WDD:WBB,1,4,40105,0,A,19,false
WDD:WBB,1,4,40105,1,A,16,false
WDD:WBB,1,4,40106,0,A,21,false
WDD:WBB,1,4,40106,1,A,30,false
WDD:WBB,1,4,40107,0,A,19,false
WDD:WBB,1,4,40107,1,A,38,false
WDD:WBB,1,4,40108,0,A,17,false
WDD:WBB,1,4,40108,1,A,22,false
WDD:WBB,1,4,40109,0,A,17,false
WDD:WBB,1,4,40109,1,A,26,false
WDD:WBB,1,4,40110,0,A,17,false
WDD:WBB,1,4,40110,1,A,18,false
WDD:WBB,1,4,40111,0,A,33,false
WDD:WBB,1,4,40111,1,A,16,false
WDD:WBB,1,4,40112,0,A,17,false
WDD:WBB,1,4,40112,1,A,14,false
WDD:WBB,1,4,40113,0,A,19,false
WDD:WBB,1,4,40113,1,A,22,false
WDD:WBB,1,4,40114,0,A,17,false
WDD:WBB,1,4,40114,1,A,22,false
WDD:WBB,1,4,40115,0,A,35,false
WDD:WBB,1,4,40115,1,A,42,false
WDD:WBB,1,4,40116,0,A,21,false
WDD:WBB,1,4,40116,1,A,30,false
WDD:WBB,1,4,40117,0,A,23,false
WDD:WBB,1,4,40117,1,A,18,false
WDD:WBB,1,4,40118,0,A,21,false
WDD:WBB,1,4,40118,1,A,18,false
WDD:WBB,1,4,40119,0,A,49,false
WDD:WBB,1,4,40119,1,draw,100,true
WDD:WBB,1,4,40120,0,A,21,false
WDD:WBB,1,4,40120,1,A,16,false
WDD:WBB,1,4,40121,0,A,17,false
WDD:WBB,1,4,40121,1,A,22,false
WDD:WBB,1,4,40122,0,A,17,false
WDD:WBB,1,4,40122,1,A,28,false
WDD:WBB,1,4,40123,0,A,19,false
WDD:WBB,1,4,40123,1,A,26,false
WDD:WBB,1,4,40124,0,A,21,false
WDD:WBB,1,4,40124,1,A,14,false
WDD:WBB,1,4,40125,0,A,17,false
WDD:WBB,1,4,40125,1,A,18,false
WDD:WBB,1,4,40126,0,A,19,false
WDD:WBB,1,4,40126,1,A,22,false
WDD:WBB,1,4,40127,0,A,43,false
WDD:WBB,1,4,40127,1,A,44,false
WDD:WBB,1,4,40128,0,A,23,false
WDD:WBB,1,4,40128,1,A,20,false
WDD:WBB,1,4,40129,0,A,19,false
WDD:WBB,1,4,40129,1,A,22,false
WDD:WBB,1,4,40130,0,A,25,false
WDD:WBB,1,4,40130,1,A,24,false
WDD:WBB,1,4,40131,0,A,17,false
WDD:WBB,1,4,40131,1,A,22,false
WDD:WBB,1,4,40132,0,A,21,false
WDD:WBB,1,4,40132,1,draw,100,true
WDD:WBB,1,4,40133,0,A,13,false
WDD:WBB,1,4,40133,1,A,20,false
WDD:WBB,1,4,40134,0,A,19,false
WDD:WBB,1,4,40134,1,A,16,false
WDD:WBB,1,4,40135,0,A,25,false
WDD:WBB,1,4,40135,1,A,18,false
WDD:WBB,1,4,40136,0,A,19,false
WDD:WBB,1,4,40136,1,A,14,false
WDD:WBB,1,4,40137,0,A,19,false
WDD:WBB,1,4,40137,1,A,14,false
WDD:WBB,1,4,40138,0,A,19,false
WDD:WBB,1,4,40138,1,A,18,false
WDD:WBB,1,4,40139,0,A,17,false
WDD:WBB,1,4,40139,1,A,14,false
WDD:WBB,1,4,40140,0,A,25,false
WDD:WBB,1,4,40140,1,A,16,false
WDD:WBB,1,4,40141,0,A,19,false
WDD:WBB,1,4,40141,1,A,20,false
WDD:WBB,1,4,40142,0,A,19,false
WDD:WBB,1,4,40142,1,A,20,false
WDD:WBB,1,4,40143,0,A,25,false
WDD:WBB,1,4,40143,1,A,20,false
WDD:WBB,1,4,40144,0,A,27,false
WDD:WBB,1,4,40144,1,A,22,false
WDD:WBB,1,4,40145,0,A,17,false
WDD:WBB,1,4,40145,1,A,22,false
WDD:WBB,1,4,40146,0,A,23,false
WDD:WBB,1,4,40146,1,A,20,false
WDD:WBB,1,4,40147,0,A,23,false
WDD:WBB,1,4,40147,1,A,18,false
WDD:WBB,1,4,40148,0,A,17,false
WDD:WBB,1,4,40148,1,A,18,false
WDD:WBB,1,4,40149,0,A,17,false
WDD:WBB,1,4,40149,1,A,14,false
WDD:WBB,1,5,50100,0,A,21,false
WDD:WBB,1,5,50100,1,A,30,false
WDD:WBB,1,5,50101,0,A,23,false
WDD:WBB,1,5,50101,1,A,24,false
WDD:WBB,1,5,50102,0,A,17,false
WDD:WBB,1,5,50102,1,A,14,false
WDD:WBB,1,5,50103,0,A,15,false
WDD:WBB,1,5,50103,1,A,16,false
WDD:WBB,1,5,50104,0,A,19,false
WDD:WBB,1,5,50104,1,A,22,false
WDD:WBB,1,5,50105,0,A,19,false
WDD:WBB,1,5,50105,1,A,14,false
WDD:WBB,1,5,50106,0,A,13,false
WDD:WBB,1,5,50106,1,A,18,false
WDD:WBB,1,5,50107,0,A,19,false
WDD:WBB,1,5,50107,1,A,20,false
WDD:WBB,1,5,50108,0,A,25,false
WDD:WBB,1,5,50108,1,A,20,false
WDD:WBB,1,5,50109,0,A,19,false
WDD:WBB,1,5,50109,1,A,12,false
WDD:WBB,1,5,50110,0,A,21,false
WDD:WBB,1,5,50110,1,A,16,false
WDD:WBB,1,5,50111,0,A,17,false
WDD:WBB,1,5,50111,1,A,16,false
WDD:WBB,1,5,50112,0,A,17,false
WDD:WBB,1,5,50112,1,A,16,false
WDD:WBB,1,5,50113,0,A,15,false
WDD:WBB,1,5,50113,1,A,12,false
WDD:WBB,1,5,50114,0,A,19,false
WDD:WBB,1,5,50114,1,A,18,false
WDD:WBB,1,5,50115,0,A,19,false
WDD:WBB,1,5,50115,1,A,14,false
WDD:WBB,1,5,50116,0,A,17,false
WDD:WBB,1,5,50116,1,A,20,false
WDD:WBB,1,5,50117,0,A,21,false
WDD:WBB,1,5,50117,1,A,20,false
WDD:WBB,1,5,50118,0,A,31,false
WDD:WBB,1,5,50118,1,A,20,false
WDD:WBB,1,5,50119,0,A,19,false
WDD:WBB,1,5,50119,1,A,18,false
WDD:WBB,1,5,50120,0,A,17,false
WDD:WBB,1,5,50120,1,A,14,false
WDD:WBB,1,5,50121,0,A,15,false
WDD:WBB,1,5,50121,1,A,22,false
WDD:WBB,1,5,50122,0,A,17,false
WDD:WBB,1,5,50122,1,A,18,false
WDD:WBB,1,5,50123,0,A,21,false
WDD:WBB,1,5,50123,1,A,12,false
WDD:WBB,1,5,50124,0,A,19,false
WDD:WBB,1,5,50124,1,A,22,false
WDD:WBB,1,5,50125,0,A,17,false
WDD:WBB,1,5,50125,1,A,22,false
WDD:WBB,1,5,50126,0,A,19,false
WDD:WBB,1,5,50126,1,A,20,false
WDD:WBB,1,5,50127,0,A,13,false
WDD:WBB,1,5,50127,1,A,18,false
WDD:WBB,1,5,50128,0,A,17,false
WDD:WBB,1,5,50128,1,A,16,false
WDD:WBB,1,5,50129,0,A,15,false
WDD:WBB,1,5,50129,1,A,16,false
WDD:WBB,1,5,50130,0,A,15,false
WDD:WBB,1,5,50130,1,A,12,false
WDD:WBB,1,5,50131,0,A,17,false
WDD:WBB,1,5,50131,1,A,24,false
WDD:WBB,1,5,50132,0,A,19,false
WDD:WBB,1,5,50132,1,A,14,false
WDD:WBB,1,5,50133,0,A,15,false
WDD:WBB,1,5,50133,1,A,16,false
WDD:WBB,1,5,50134,0,A,15,false
WDD:WBB,1,5,50134,1,A,16,false
WDD:WBB,1,5,50135,0,draw,100,true
WDD:WBB,1,5,50135,1,A,24,false
WDD:WBB,1,5,50136,0,A,17,false
WDD:WBB,1,5,50136,1,A,20,false
WDD:WBB,1,5,50137,0,A,23,false
WDD:WBB,1,5,50137,1,A,16,false
WDD:WBB,1,5,50138,0,A,29,false
WDD:WBB,1,5,50138,1,A,14,false
WDD:WBB,1,5,50139,0,A,17,false
WDD:WBB,1,5,50139,1,A,16,false
WDD:WBB,1,5,50140,0,A,17,false
WDD:WBB,1,5,50140,1,A,18,false
WDD:WBB,1,5,50141,0,A,15,false
WDD:WBB,1,5,50141,1,A,22,false
WDD:WBB,1,5,50142,0,A,15,false
WDD:WBB,1,5,50142,1,A,16,false
WDD:WBB,1,5,50143,0,A,11,false
WDD:WBB,1,5,50143,1,A,18,false
WDD:WBB,1,5,50144,0,A,19,false
WDD:WBB,1,5,50144,1,A,16,false
WDD:WBB,1,5,50145,0,A,19,false
WDD:WBB,1,5,50145,1,A,24,false
WDD:WBB,1,5,50146,0,A,13,false
WDD:WBB,1,5,50146,1,A,14,false
WDD:WBB,1,5,50147,0,A,13,false
WDD:WBB,1,5,50147,1,A,16,false
WDD:WBB,1,5,50148,0,A,23,false
WDD:WBB,1,5,50148,1,A,16,false
WDD:WBB,1,5,50149,0,A,19,false
WDD:WBB,1,5,50149,1,A,20,false
WDD:WBB,2,1,10200,0,B,15,false
WDD:WBB,2,1,10200,1,B,24,false
WDD:WBB,2,1,10201,0,B,14,false
WDD:WBB,2,1,10201,1,B,22,false
WDD:WBB,2,1,10202,0,B,19,false
WDD:WBB,2,1,10202,1,B,20,false
WDD:WBB,2,1,10203,0,draw,100,true
WDD:WBB,2,1,10203,1,B,32,false
WDD:WBB,2,1,10204,0,B,23,false
WDD:WBB,2,1,10204,1,B,24,false
WDD:WBB,2,1,10205,0,B,21,false
WDD:WBB,2,1,10205,1,B,16,false
WDD:WBB,2,1,10206,0,draw,100,true
WDD:WBB,2,1,10206,1,draw,100,true
WDD:WBB,2,1,10207,0,B,23,false
WDD:WBB,2,1,10207,1,B,18,false
WDD:WBB,2,1,10208,0,B,21,false
WDD:WBB,2,1,10208,1,B,22,false
WDD:WBB,2,1,10209,0,B,15,false
WDD:WBB,2,1,10209,1,B,20,false
WDD:WBB,2,1,10210,0,B,35,false
WDD:WBB,2,1,10210,1,B,18,false
WDD:WBB,2,1,10211,0,B,25,false
WDD:WBB,2,1,10211,1,B,16,false
WDD:WBB,2,1,10212,0,B,29,false
WDD:WBB,2,1,10212,1,B,20,false
WDD:WBB,2,1,10213,0,B,83,false
WDD:WBB,2,1,10213,1,B,26,false
WDD:WBB,2,1,10214,0,B,85,false
WDD:WBB,2,1,10214,1,B,20,false
WDD:WBB,2,1,10215,0,B,21,false
WDD:WBB,2,1,10215,1,B,20,false
WDD:WBB,2,1,10216,0,B,21,false
WDD:WBB,2,1,10216,1,B,16,false
WDD:WBB,2,1,10217,0,B,23,false
WDD:WBB,2,1,10217,1,B,16,false
WDD:WBB,2,1,10218,0,B,25,false
WDD:WBB,2,1,10218,1,B,18,false
WDD:WBB,2,1,10219,0,B,15,false
WDD:WBB,2,1,10219,1,B,14,false
WDD:WBB,2,1,10220,0,B,17,false
WDD:WBB,2,1,10220,1,B,13,false
WDD:WBB,2,1,10221,0,B,15,false
WDD:WBB,2,1,10221,1,B,16,false
WDD:WBB,2,1,10222,0,B,17,false
WDD:WBB,2,1,10222,1,B,13,false
WDD:WBB,2,1,10223,0,B,17,false
WDD:WBB,2,1,10223,1,B,16,false
WDD:WBB,2,1,10224,0,B,17,false
WDD:WBB,2,1,10224,1,B,22,false
WDD:WBB,2,1,10225,0,B,17,false
WDD:WBB,2,1,10225,1,B,16,false
WDD:WBB,2,1,10226,0,B,21,false
WDD:WBB,2,1,10226,1,B,18,false
WDD:WBB,2,1,10227,0,B,17,false
WDD:WBB,2,1,10227,1,B,14,false
WDD:WBB,2,1,10228,0,B,19,false
WDD:WBB,2,1,10228,1,B,16,false
WDD:WBB,2,1,10229,0,B,21,false
WDD:WBB,2,1,10229,1,B,16,false
WDD:WBB,2,1,10230,0,B,81,false
WDD:WBB,2,1,10230,1,B,44,false
WDD:WBB,2,1,10231,0,B,15,false
WDD:WBB,2,1,10231,1,B,16,false
WDD:WBB,2,1,10232,0,B,17,false
WDD:WBB,2,1,10232,1,B,13,false
WDD:WBB,2,1,10233,0,B,33,false
WDD:WBB,2,1,10233,1,B,60,false
WDD:WBB,2,1,10234,0,B,19,false
WDD:WBB,2,1,10234,1,B,16,false
WDD:WBB,2,1,10235,0,B,23,false
WDD:WBB,2,1,10235,1,B,18,false
WDD:WBB,2,1,10236,0,B,19,false
WDD:WBB,2,1,10236,1,B,18,false
WDD:WBB,2,1,10237,0,B,23,false
WDD:WBB,2,1,10237,1,B,68,false
WDD:WBB,2,1,10238,0,B,15,false
WDD:WBB,2,1,10238,1,B,20,false
WDD:WBB,2,1,10239,0,B,29,false
WDD:WBB,2,1,10239,1,draw,100,true
WDD:WBB,2,1,10240,0,B,19,false
WDD:WBB,2,1,10240,1,B,16,false
WDD:WBB,2,1,10241,0,B,15,false
WDD:WBB,2,1,10241,1,B,16,false
WDD:WBB,2,1,10242,0,B,17,false
WDD:WBB,2,1,10242,1,B,20,false
WDD:WBB,2,1,10243,0,B,49,false
WDD:WBB,2,1,10243,1,B,22,false
WDD:WBB,2,1,10244,0,B,19,false
WDD:WBB,2,1,10244,1,B,16,false
WDD:WBB,2,1,10245,0,B,15,false
WDD:WBB,2,1,10245,1,B,15,false
WDD:WBB,2,1,10246,0,B,26,false
WDD:WBB,2,1,10246,1,B,18,false
WDD:WBB,2,1,10247,0,draw,100,true
WDD:WBB,2,1,10247,1,B,40,false
WDD:WBB,2,1,10248,0,B,21,false
WDD:WBB,2,1,10248,1,B,20,false
WDD:WBB,2,1,10249,0,B,13,false
WDD:WBB,2,1,10249,1,B,20,false
WDD:WBB,2,2,20200,0,B,18,false
WDD:WBB,2,2,20200,1,B,22,false
WDD:WBB,2,2,20201,0,B,28,false
