price,pair_id,seed,mirror,pos_a,comp_a,comp_b,cost_a,cost_b,winner_label,turns,unresolved
A,6,11,1,P2,0w0c3b,2w0c2b,42,38,A,28,false
A,6,12,0,P1,0w0c3b,2w0c2b,42,38,A,29,false
A,6,12,1,P2,0w0c3b,2w0c2b,42,38,A,25,false
A,6,13,0,P1,0w0c3b,2w0c2b,42,38,A,23,false
A,6,13,1,P2,0w0c3b,2w0c2b,42,38,A,38,false
A,6,14,0,P1,0w0c3b,2w0c2b,42,38,A,27,false
A,6,14,1,P2,0w0c3b,2w0c2b,42,38,A,24,false
A,6,15,0,P1,0w0c3b,2w0c2b,42,38,A,59,false
A,6,15,1,P2,0w0c3b,2w0c2b,42,38,A,31,false
A,6,16,0,P1,0w0c3b,2w0c2b,42,38,B,26,false
A,6,16,1,P2,0w0c3b,2w0c2b,42,38,A,30,false
A,6,17,0,P1,0w0c3b,2w0c2b,42,38,A,57,false
A,6,17,1,P2,0w0c3b,2w0c2b,42,38,A,32,false
A,6,18,0,P1,0w0c3b,2w0c2b,42,38,B,20,false
A,6,18,1,P2,0w0c3b,2w0c2b,42,38,B,21,false
A,6,19,0,P1,0w0c3b,2w0c2b,42,38,A,29,false
A,6,19,1,P2,0w0c3b,2w0c2b,42,38,A,28,false
A,6,20,0,P1,0w0c3b,2w0c2b,42,38,A,31,false
A,6,20,1,P2,0w0c3b,2w0c2b,42,38,A,34,false
A,7,1,0,P1,0w0c3b,2w2c1b,42,38,B,28,false
A,7,1,1,P2,0w0c3b,2w2c1b,42,38,A,20,false
A,7,2,0,P1,0w0c3b,2w2c1b,42,38,B,30,false
A,7,2,1,P2,0w0c3b,2w2c1b,42,38,A,36,false
A,7,3,0,P1,0w0c3b,2w2c1b,42,38,B,24,false
A,7,3,1,P2,0w0c3b,2w2c1b,42,38,A,23,false
A,7,4,0,P1,0w0c3b,2w2c1b,42,38,A,30,false
A,7,4,1,P2,0w0c3b,2w2c1b,42,38,A,37,false
A,7,5,0,P1,0w0c3b,2w2c1b,42,38,A,25,false
